description,category,temperature,target_gender,boldness,timer_seconds
"Что бы ты выбрал(а): оказаться связанным(ой) или связать меня?",flirt,fire,both,75,0
"Что тебе ближе: оказаться связанным(ой) или надеть повязку на глаза?",flirt,fire,both,75,0
"Что бы ты выбрал(а) для меня: зажимы для сосков или повязку на глаза?",flirt,fire,both,75,0
"Использовал(а) ли ты наручники во время секса? Как?",flirt,fire,both,75,0
"Какой самый странный предмет ты когда-либо рассматривал(а) как секс-игрушку?",flirt,fire,both,75,0
"Тебе хотелось бы попробовать секс в общественном месте? Где?",flirt,fire,both,75,0
"Какой кинк тебе хотелось бы попробовать вместе?",flirt,fire,both,75,0
"Тебе интересны практики с лёгким ограничением дыхания?",flirt,fire,both,75,0
"Как ты относишься к шлёпанью во время секса: когда шлёпают тебя или когда шлёпаешь ты?",flirt,fire,both,75,0
"Что хуже: всегда достигать оргазма ровно через минуту или не раньше, чем через три часа?",flirt,fire,both,75,0
"Каков твой рекорд по мастурбации за один день?",flirt,fire,both,75,0
"Хочешь посмотреть, как я мастурбирую?",flirt,fire,both,75,0
"О чём ты думаешь, когда мастурбируешь?",flirt,fire,both,75,0
"Если бы у тебя была полная свобода в постели на одну ночь, что бы ты выбрал(а)?",flirt,fire,both,75,0
"Как бы ты отнёсся(ась) к предложению знакомой пары присоединиться к ним?",flirt,fire,both,75,0
